Pseudomonas aeruginosa
Sandaracinobacter sp.
Achromobacter insolitus
Francisella tularensis
Proteiniphilum saccharofermentans
Campylobacter jejuni
Thermodesulfobium acidiphilum
Corynebacterium glutamicum
Clostridium sp.
Mesoplasma florum
Acetivibrio saccincola
Streptomyces tuirus
Dyella jiangningensis
Rickettsia conorii
Aggregatibacter segnis
Fervidobacterium pennivorans
Streptococcus agalactiae
Pragia fontium
Exiguobacterium sp.
Cruoricaptor ignavus
Mycoplasma hominis
Syntrophotalea acetylenivorans
Klebsiella pneumoniae
Achromobacter spanius
Capnocytophaga stomatis
Streptococcus koreensis
Muricauda aquimarina
Kitasatospora albolonga
Spiroplasma culicicola
Coprococcus sp.
Micromonospora aurantiaca
Candidatus Saccharibacteria
[Eubacterium] hallii
Kingella kingae
Mycobacterium senegalense
Chloroherpeton thalassium
Lactobacillus gasseri
Limnobacter sp.
Arthrobacter alpinus
Mannheimia bovis
Francisella tularensis
Halanaerobium praevalens
Acinetobacter sp.
Polynucleobacter duraquae
Arachnia propionica
Paenibacillus sp.
Serratia inhibens
Candidatus Kuenenia
Brachyspira pilosicoli
Rickettsia prowazekii
Streptococcus constellatus
Meiothermus ruber
Spiroplasma mirum
[Haemophilus] ducreyi
Flavisolibacter ginsenosidimutans
Leptospirillum ferrooxidans
Leminorella richardii
Chlamydia trachomatis
Alteromonas pelagimontana
Pukyongia salina
Hahella chejuensis
Mycobacterium saskatchewanense
Romboutsia sp.
Mycoplasma mobile
Weissella paramesenteroides
Pseudomonas monteilii
Aeromonas veronii
Riemerella anatipestifer
Shewanella inventionis
Carnobacterium maltaromaticum
Candidatus Zinderia
Coprothermobacter proteolyticus
Thioalkalivibrio versutus
Shigella flexneri
Tepidanaerobacter acetatoxydans
Hydrogenibacillus sp.
Thermotoga maritima
Campylobacter gracilis
Entomoplasma melaleucae
Staphylococcus haemolyticus
Bacillus subtilis
Flavobacteriaceae bacterium
Mycoplasma gallisepticum
Candidatus Pseudomonas
Arcanobacterium phocisimile
Shewanella halifaxensis
Halothece sp.
Psychrobacter sp.
Helicobacter pylori
Sphingosinithalassobacter tenebrarum
Rodentibacter pneumotropicus
Turicibacter sanguinis
Sulfurimonas sediminis
Clostridium difficile
Brevundimonas sp.
Lactococcus carnosus
Bartonella ancashensis
Helicobacter pylori
Chryseobacterium sp.
Bacillus coagulans
Lactiplantibacillus paraplantarum
Blochmannia floridanus
Oleiharenicola sp.
Alistipes finegoldii
Brevibacillus choshinensis
Desulfoluna sp.
