scientific_name,genome_name
Aeromicrobium erythreum,aer
Clostridium saccharolyticum-like,cso
Thermoleptolyngbya sichuanensis,theu
Iodobacter ciconiae,iod
Mannheimia haemolytica,mham
Thermanaerosceptrum fracticalcis,tfr
Microbacterium sp.,mix
Streptococcus suis,ssw
Anaplasma phagocytophilum,aph
Arthrobacter sp.,arq
Phocaeicola coprophilus,pcop
Listeria monocytogenes,lmv
Spiroplasma turonicum,stur
Bacillus subtilis,bsx
Acidipropionibacterium acidipropionici,aaci
Candidatus Uzinura,udi
Nitrospira moscoviensis,nmv
Streptococcus cristatus,soi
Rickettsia monacensis,,rmc
Aureimonas altamirensis,aalm
Secondary endosymbiont,sect
Mycobacterium tuberculosis,mtur
Mycobacterium smegmatis,msh
Alcaligenes faecalis,afq
Bifidobacterium longum,blx
Thermoanaerobacterium thermosaccharolyticum,ttm
Blochmannia endosymbiont,bed
Terriglobus saanensis,tsa
Salmonella enterica,seg
Candidatus Arthromitus,asm
Cyanobacterium stanieri,csn
Enterobacter sichuanensis,esh
Synechococcus sp.,syg
Mycobacterium canettii,mcx
Desulfobacula toluolica,dto
Caldicellulosiruptor saccharolyticus,csc
Niallia circulans,bcir
Mycobacterium intracellulare,mia
[Eubacterium] rectale,ere
Flavobacterium johnsoniae,fjo
[Clostridium] hiranonis,phx
Streptomyces sp.,stro
Desulfurobacterium thermolithotrophum,dte
Paenibacillus barcinonensis,pbac
Symmachiella dynata,sdyn
Rathayibacter toxicus,rtc
Tardiphaga robiniae,trb
Shigella flexneri,sfs
Flavobacterium kingsejongi,fki
Rickettsia rickettsii,rrc
Pseudomonas aeruginosa,paer
Corynebacterium pseudotuberculosis,coi
Paenibacillus sp.,pjd
Subtercola sp.,subt
Mycoplasma hyorhinis,mhr
Cytophaga hutchinsonii,chu
Rhodoferax saidenbachensis,rsb
Pseudomonas putida,ppud
Mycoplasma salivarium,msai
Mycobacterium pseudoshottsii,mpse
Achromobacter xylosoxidans,axx
Desulfomicrobium baculatum,dba
Kocuria palustris,kpl
Acidaminococcus intestini,ain
Candidatus Koribacter,aba
Bifidobacterium pseudocatenulatum,bpsc
Saliniradius amylolyticus,salh
Enterobacteriaceae bacterium,cmik
Chlamydia trachomatis,ctll
Candidatus Portiera,plr
Serpentinomonas raichei,cbaa
Mycobacterium sp.,myv
Endosymbiont of,eor
Caloranaerobacter azorensis,cazo
Francisella tularensis,fto
Muricauda aquimarina,maqi
Streptococcus intermedius,siu
Sphingobacterium thalpophilum,stha
Pseudomonas aeruginosa,pdk
Candidatus Ruthia,reo
Pandoraea pnomenusa,ppno
Mycoplasma mobile,mmo
Citrobacter sp.,cif
Bdellovibrio sp.,bdq
Thermodesulfobacterium commune,tcm
Variovorax sp.,vaa
Janthinobacterium sp.,jab
Pukyongia salina,aue
Leucobacter denitrificans,ldn
Bathymodiolus thermophilus,bthg
Chlorobium phaeovibrioides,pvi
Clostridium manihotivorum,cmah
